Job Title,Rating,Average Salary,State
machine learning engineer,3.6,134.0,NY
researcher,4.2,134.0,NY
data scientist,3.9,134.0,NJ
data scientist,3.7,134.0,NY
data scientist,4.3,134.0,NY
data scientist,3.5,134.0,NY
data scientist,4.0,134.0,NY
machine learning engineer,3.0,134.0,NY
data scientist,3.1,152.0,NY
analyst,4.0,152.0,NY
researcher,5.0,152.0,NY
analyst,3.5,152.0,NY
analyst,3.6,152.0,NY
data scientist,4.4,152.0,NY
data scientist,2.6,152.0,NJ
data scientist,3.6,152.0,NJ
machine learning engineer,4.6,152.0,NY
data scientist,4.1,152.0,NY
data scientist,3.3,152.0,NY
machine learning engineer,3.5,124.5,NY
data engineer,4.1,124.5,NY
data scientist,3.2,124.5,NY
analyst,4.0,124.5,NY
director,4.0,124.5,NY
analyst,3.6,124.5,NJ
data scientist,3.8,124.5,NY
data engineer,3.9,124.5,NY
data engineer,4.4,124.5,NY
other,3.6,124.5,NY
machine learning engineer,3.9,124.5,NY
data scientist,3.7,124.5,NY
data scientist,4.1,124.5,NY
analyst,4.4,124.5,NY
data scientist,3.7,124.5,NY
data scientist,2.5,124.5,NY
analyst,4.9,124.5,NY
data scientist,3.6,111.5,NY
data scientist,3.6,111.5,NY
data scientist,3.3,111.5,NY
analyst,3.6,111.5,NY
researcher,5.0,111.5,NY
data scientist,3.8,111.5,NY
analyst,4.8,111.5,NY
other,4.1,111.5,NY
analyst,4.4,111.5,NY
analyst,3.3,111.5,NY
machine learning engineer,3.7,111.5,NY
analyst,4.1,111.5,NY
other,4.5,111.5,NY
data scientist,3.6,111.5,NJ
data scientist,3.2,111.5,NY
data scientist,3.8,111.5,NY
machine learning engineer,4.1,111.5,NY
other,4.8,111.5,NY
data engineer,3.9,111.5,NY
data engineer,3.6,111.5,NY
researcher,3.9,111.5,NY
other,4.4,111.5,NY
researcher,3.9,111.5,NY
analyst,4.8,111.5,NY
data scientist,3.9,107.5,NY
data scientist,3.6,107.5,NJ
analyst,5.0,107.5,NY
manager,4.9,107.5,NY
data scientist,1.0,107.5,NY
data scientist,3.8,107.5,NY
analyst,3.4,107.5,NY
analyst,3.2,107.5,NY
data scientist,4.0,107.5,NJ
data scientist,3.9,107.5,NY
data engineer,4.9,107.5,NY
data scientist,3.4,107.5,NY
data scientist,4.8,107.5,NY
data engineer,4.4,107.5,NY
machine learning engineer,4.7,107.5,NJ
data scientist,2.8,107.5,NY
data scientist,3.7,107.5,NY
data scientist,3.7,107.5,NY
analyst,5.0,107.5,NY
data scientist,3.7,107.5,NJ
data scientist,4.4,107.5,NY
data scientist,3.4,107.5,NY
data scientist,3.7,107.5,NY
data scientist,4.0,160.5,NY
analyst,2.9,160.5,NY
data scientist,2.1,160.5,NJ
data scientist,4.5,133.0,CA
data scientist,3.9,133.0,CA
data scientist,3.8,133.0,CA
data scientist,3.9,133.0,CA
analyst,4.0,133.0,CA
data engineer,3.7,133.0,CA
data scientist,3.9,133.0,CA
analyst,3.1,133.0,CA
data scientist,3.8,133.0,CA
data scientist,4.6,133.0,CA
data scientist,4.4,133.0,CA
data scientist,2.3,133.0,CA
data scientist,2.9,133.0,CA
data scientist,3.6,133.0,CA
data scientist,3.9,133.0,CA
data scientist,3.7,133.0,CA
analyst,4.7,133.0,CA
data scientist,4.2,133.0,CA
data scientist,4.7,133.0,CA
data scientist,3.9,133.0,CA
analyst,3.4,133.0,CA
analyst,3.4,133.0,CA
data scientist,4.2,133.0,CA
data scientist,3.2,133.0,CA
data scientist,4.5,133.0,CA
data scientist,3.8,133.0,CA
analyst,3.9,133.0,CA
data scientist,3.6,133.0,CA
data scientist,3.5,133.0,CA
data scientist,3.7,146.5,CA
data scientist,3.2,146.5,CA
data scientist,2.4,146.5,CA
data scientist,5.0,146.5,CA
data scientist,3.9,146.5,CA
data scientist,4.2,146.5,CA
data engineer,4.7,146.5,CA
analyst,3.7,146.5,CA
data scientist,4.0,146.5,CA
data scientist,3.9,146.5,CA
data scientist,2.8,146.5,CA
data scientist,3.7,146.5,CA
data scientist,3.3,146.5,CA
analyst,3.1,146.5,CA
data scientist,2.5,146.5,CA
data scientist,3.3,146.5,CA
data scientist,3.0,146.5,CA
data scientist,3.5,146.5,CA
machine learning engineer,3.0,146.5,CA
analyst,4.0,146.5,CA
analyst,5.0,146.5,CA
other,3.5,146.5,CA
analyst,3.9,146.5,CA
other,4.9,146.5,CA
data scientist,3.6,146.5,CA
machine learning engineer,3.6,146.5,CA
other,4.2,146.5,CA
data scientist,3.3,146.5,CA
data scientist,3.7,146.5,CA
other,3.6,146.5,CA
data scientist,4.5,146.5,CA
analyst,4.7,146.5,CA
data scientist,3.1,146.5,CA
machine learning engineer,4.6,146.5,CA
analyst,2.1,146.5,CA
data scientist,4.1,146.5,CA
analyst,5.0,146.5,CA
data scientist,4.1,146.5,CA
analyst,4.6,146.5,CA
analyst,3.9,146.5,CA
data engineer,4.5,146.5,CA
analyst,3.6,146.5,CA
data scientist,3.9,146.5,CA
data scientist,3.8,146.5,CA
other,3.9,146.5,CA
data scientist,3.6,146.5,CA
machine learning engineer,4.0,146.5,CA
analyst,3.9,146.5,CA
analyst,3.8,146.5,CA
analyst,4.8,146.5,CA
analyst,4.3,146.5,CA
analyst,5.0,146.5,CA
analyst,4.5,146.5,CA
data scientist,3.9,146.5,CA
data scientist,3.3,99.0,CA
analyst,3.8,99.0,CA
data scientist,4.9,99.0,CA
data engineer,3.9,99.0,CA
other,3.7,99.0,CA
data scientist,2.8,99.0,CA
data scientist,4.4,99.0,CA
data scientist,3.9,99.0,CA
machine learning engineer,4.7,99.0,CA
other,3.2,99.0,CA
analyst,4.5,99.0,CA
analyst,5.0,99.0,CA
analyst,3.9,99.0,CA
analyst,3.5,99.0,CA
data engineer,3.8,99.0,CA
data engineer,3.1,99.0,CA
data scientist,4.1,99.0,CA
data scientist,3.4,99.0,CA
data scientist,3.9,99.0,CA
data scientist,3.9,99.0,CA
other,3.1,99.0,CA
data scientist,2.3,99.0,CA
analyst,3.1,99.0,CA
data scientist,3.8,99.0,CA
